PlayerId|Position|Player|Salary
487|SG|Malcolm Lee|NA
488|SF|Josh Howard|NA
489|PF|Rasheed Wallace|NA
490|PG|Josh Selby|NA
491|C|Luke Zeller|NA
492|SG|Darius Johnson-Odom|NA
493|SG|Dominic McGuire|NA
494|PF|Linas Kleiza|NA
495|PF|Troy Murphy|NA
496|SG|Marquis Daniels|NA
497|PF|Malcolm Thomas|NA
498|SG|Jerry Stackhouse|NA
499|SF|Damion James|NA
500|SF|Solomon Hill|3308.98715852073
501|SG/SF|Rasual Butler|NA
502|SG|Josh Childress|NA
503|PF|Samardo Samuels|NA
504|C|Dexter Pittman|NA
505|PG|Earl Watson|NA
506|PF|Kwame Brown|NA
507|C|DeSagana Diop|NA
508|SG|Chris Douglas-Roberts|NA
509|C|Darko Milicic|NA
510|SF|Kris Joseph|NA
511|PF|Drew Gooden|NA
512|PG|Keyon Dooling|NA
513|SG|Terrel Harris|NA
514|PF|Jarvis Varnado|NA
515|SF|James Nunnally|NA
516|PF/C|Alexis Ajinca|3011.64852700936
517|PF/C|Mike Muscala|3510.9459269162
518|SG|Chris Babb|NA
519|SF|Chris Wright|NA
520|SF|Corey Maggette|NA
521|C|Joel Przybilla|NA
522|PF/C|Arinze Onuaku|3057.71963191219
523|PF|Quincy Miller|NA
524|PG|Will Conroy|NA
525|PG|Cory Higgins|NA
526|PF|Arnett Moultrie|NA
527|PG|Scott Machado|NA
528|PG|Mickael Pietrus|NA
529|PG/SG|Isaiah Canaan|3401.88917159546
530|SG|CJ McCollum|6686.24564412915
531|SG|Justin Holiday|4389.75713626806
532|C|Tim Ohlbrecht|NA
533|PF|Joey Dorsey|NA
534|SF|Damjan Rudez|2838.4476439096
535|PF|Nikola Mirotic|5549.18920249056
536|SF|Doug McDermott|3335.59984076049
537|SF|Joe Ingles|3979.52856850778
538|PG|Dante Exum|2915.64338985225
539|SF|Tyler Honeycutt|NA
540|C|Greg Oden|NA
541|SG/PG|Manny Harris|2856.31331582554
542|SF|Robert Covington|5591.77935055915
543|PG|Chris Quinn|NA
544|SG|Brandon Roy|NA
545|SG|Matt Carroll|NA
546|SG|Othyus Jeffers|NA
547|SG|Quentin Richardson|NA
548|SF|Tracy McGrady|NA
549|SG|Andrew Goudelock|NA
550|PG|Josh Akognon|NA
551|PF|JaMychal Green|4255.24727296807
552|SG|Jordan Adams|NA
553|PG|Marcus Smart|5549.84901481442
554|SF/SG|Kyle Anderson|3945.24419173682
555|SG|Nik Stauskas|3684.0302520681
556|C|Hilton Armstrong|NA
557|SG|Carrick Felix|NA
558|PG|Chris Smith|NA
559|PF|Dwayne Jones|NA
560|SF|DaJuan Summers|NA
561|PG/G|Seth Curry|4946.94937089924
562|SF|Bojan Bogdanovic|4789.85290523453
563|PF|Cory Jefferson|NA
564|SF|Kostas Papanikolaou|NA
565|SG|Troy Daniels|3476.36954616012
566|SG/SF|Andrew Wiggins|7177.73829206962
567|PG/SG|Zach LaVine|5816.04726916348
568|SG/G|Vander Blue|2815.14832810499
569|PG|Justin Dentmon|NA
570|SF|Travis Wear|2817.43430740666
571|PF|Adreian Payne|2837.57876238421
572|SG|Glenn Robinson|NA
573|F|James Southerland|NA
574|SG|Joe Harris|3634.12214386601
575|PG|Elfrid Payton|6019.26678652906
576|SG|Markel Brown|2706.24418202788
577|SG|CJ Wilcox|3104.9083576072
578|G/PG|Tim Frazier|3998.58176151857
579|SF|James Ennis|NA
580|PG|Shabazz Napier|3412.46685156919
581|PF/C|Tarik Black|2983.82319053026
582|SF|Jabari Parker|5797.30909956311
583|PF/SF|Aaron Gordon|6054.7393402047
584|PG|Lester Hudson|NA
585|SF|Cleanthony Early|NA
586|PF|Nerlens Noel|4933.8054824447
587|SG/SF|KJ McDaniels|3345.71668473945
588|C|Drew Gordon|NA
589|SG|PJ Hairston|NA
590|PG/SG|Jordan Clarkson|4977.36081083034
591|C|Justin Hamilton|3538.45755284347
592||DJ Stephens|NA
593|PG|Jorge Gutierrez|NA
594|PG|Tyler Ennis|3118.75348745612
595|PF|Johnny O'Bryant|NA
596|SG|Lamar Patterson|3117.75417476892
597|C|Hassan Whiteside|7313.88161040039
598|SG|Tyler Johnson|5179.736288816
599|SF|Justise Winslow|4138.06745433581
600|SF|Mario Hezonja|3567.24576950913
601|SG|Norman Powell|3990.78654498478
602|PF/C|Dwight Powell|3801.42952288362
603|PG|Russ Smith|NA
604|PG|Langston Galloway|3494.86342691696
605|PG|Casper Ware|NA
606|F-C/C|Joffrey Lauvergne|3261.18665687549
607|C|Jusuf Nurkic|5505.62166622796
608|SG|Gary Harris|6021.4695439951
609|PG|Erick Green|NA
610|SG|Nick Johnson|NA
